 ,Area,X,Y,Major,Minor,Angle
185,36.5340,127.9507,239.8310,10.5126,4.4248,4.6438
186,107.9027,30.7201,245.4530,14.7299,9.3270,117.1704
187,13.5940,39.1370,241.4961,7.4340,2.3283,88.9965
188,111.8676,68.0933,246.0213,16.4544,8.6563,19.1927
189,112.4340,99.2156,249.2766,17.3059,8.2721,161.6804
190,20.6743,118.0734,247.8436,9.8564,2.6707,42.1795
191,60.3235,46.4553,250.5602,12.6425,6.0752,38.9142
192,24.6392,56.3462,248.7852,7.1736,4.3732,36.0688
193,106.4866,15.7855,254.5009,12.9368,10.4804,176.0292
194,64.0053,89.4405,254.4192,9.3365,8.7285,15.8536
195,84.9627,59.4048,256.0200,11.1751,9.6803,156.3943
196,43.8974,73.0194,255.4692,12.9838,4.3047,19.3989
197,15.2933,34.0788,255.8081,6.6268,2.9384,31.6162
198,2.5489,113.6191,254.1130,1.8015,1.8015,0.0000
199,56.0754,51.4462,261.4372,9.2376,7.7290,151.0716
200,52.6769,4.4405,262.9340,9.8937,6.7791,144.2972
201,9.0627,42.8234,261.2142,3.9616,2.9127,32.1417
202,2.5489,90.7357,260.4991,1.8015,1.8015,0.0000
203,23.5064,99.4877,261.0890,11.2939,2.6500,175.5305
204,5.9474,32.7287,261.5635,4.2035,1.8015,0.0000
205,81.2810,30.0660,269.1456,13.9532,7.4169,58.6086
206,39.9325,18.0430,268.1081,7.9895,6.3638,36.1830
207,89.2109,41.3195,270.2100,12.7069,8.9390,67.4193
208,9.9123,67.2896,266.2770,4.7150,2.6767,47.4249
209,8.4963,92.4918,266.2466,4.0014,2.7035,100.4609
210,2.5489,58.2730,266.8852,1.8015,1.8015,0.0000
211,13.5940,77.0654,267.3841,8.1580,2.1217,175.5473
212,6.5138,63.3634,268.6900,3.5303,2.3493,96.1612
213,22.6567,81.7752,270.2911,8.8595,3.2561,26.5586
214,2.5489,98.1861,267.9496,1.8015,1.8015,0.0000
215,2.5489,69.9809,268.4817,1.8015,1.8015,0.0000
216,19.8246,89.4812,270.7397,5.6264,4.4862,76.3897
217,78.7321,54.7890,273.2196,12.6080,7.9509,18.7021
218,4.2481,34.5381,274.5485,2.4794,2.1815,45.0006
219,2.5489,82.7530,275.4000,1.8015,1.8015,0.0000
220,11.0452,80.4333,277.7607,5.8254,2.4141,129.5173
221,15.5765,21.3789,278.2544,6.6868,2.9659,165.0313
222,2.5489,33.2609,277.5287,1.8015,1.8015,0.0000
223,73.0679,13.6096,284.8409,11.2101,8.2990,30.9353
224,16.9925,78.0167,284.0478,5.7340,3.7732,59.7523
225,30.8698,69.2095,286.7124,7.2412,5.4279,28.1699
226,55.7922,33.4608,287.5563,12.9443,5.4879,3.1374
227,4.2481,43.5850,285.1920,2.4794,2.1815,45.0006
228,3.9649,20.7548,287.3739,2.5804,1.9564,45.0002
229,34.2683,47.8143,289.1486,10.6765,4.0867,7.7271
230,3.3985,56.4104,288.7043,2.4020,1.8015,0.0000
231,4.2481,17.8278,289.7687,3.0025,1.8015,90.0000
232,3.9649,54.8139,291.6313,2.5804,1.9564,45.0002
233,16.4261,4.8721,293.5306,7.1524,2.9241,9.9156
234,2.5489,27.4070,292.9617,1.8015,1.8015,0.0000
235,124.8952,13.0250,300.0972,18.3578,8.6623,19.0966
236,3.3985,24.2139,299.6139,2.4020,1.8015,90.0000
237,3.3985,279.1252,310.2574,2.4020,1.8015,90.0000
238,4.2481,258.9026,311.0557,3.0025,1.8015,0.0000
239,2.5489,276.9965,311.0557,1.8015,1.8015,0.0000
